Breeding line,Yield
SWW14138DH82_2,6.73
SWW14138DH84_2,6.05
SWW14138DH85_2,5.78
SWW14138DH86_2,5.99
SWW14138DH87_2,4.71
SWW14138DH88_2,5.65
SWW14138DH89_2,3.97
SWW14138DH9_2,3.43
SWW14138DH92_2,3.97
SWW14138DH93_2,4.51
SWW14138DH94_2,4.71
SWW14138DH96_2,5.51
SWW14138DH98_2,3.7
SWW14138DH99_2,6.19
SWW14144DH1_2,5.31
SWW14144DH10_2,5.78
SWW14144DH11_2,4.71
SWW14144DH13_2,4.91
SWW14144DH14_2,4.3
SWW14144DH15_2,4.64
SWW14144DH16_2,4.98
SWW14144DH17_2,5.45
SWW14144DH18_2,3.97
SWW14144DH19_2,5.65
SWW14144DH20_2,4.57
SWW14144DH21_2,5.51
SWW14144DH22_2,5.11
SWW14144DH24_2,4.3
SWW14144DH25_2,4.77
SWW14144DH26_2,4.77
SWW14144DH27_2,4.71
SWW14144DH28_2,4.98
SWW14144DH29_2,4.77
SWW14144DH3_2,4.77
SWW14144DH30_2,4.51
SWW14144DH31_2,5.25
SWW14144DH34_2,3.77
SWW14144DH35_2,4.84
SWW14144DH37_2,3.77
SWW14144DH38_2,3.63
SWW14144DH39_2,4.84
SWW14144DH4_2,4.3
SWW14144DH40_2,4.98
SWW14144DH41_2,4.91
SWW14144DH42_2,5.72
SWW14144DH43_2,5.45
SWW14144DH44_2,4.77
SWW14144DH47_2,5.92
SWW14144DH49_2,5.45
SWW14144DH50_2,6.12
SWW14144DH52_2,5.11
SWW14144DH53_2,6.79
SWW14144DH54_2,6.12
SWW14144DH55_2,6.79
SWW14144DH56_2,6.59
SWW14144DH57_2,5.92
SWW14144DH59_2,5.38
SWW14144DH60_2,4.44
SWW14144DH61_2,4.24
SWW14144DH62_2,4.98
SWW14144DH63_2,5.58
SWW14144DH64_2,6.05
SWW14144DH65_2,7.2
SWW14144DH7_2,4.24
SWW14144DH8_2,5.38
SWW14144DH9_2,4.3
MAS110422001U_3,7.34
MAS110422002U_3,6.3
MAS110422003U_3,7.19
MAS110422004U_3,7.26
MAS110432001U_3,7.12
MAS110432002_3,7.41
MAS110432003UT_3,7.04
MAS110432004T_3,6.52
MAS110432005_3,7.26
MAS110432006U_3,7.26
MAS1104420010T_3,7.78
MAS110442001T_3,7.86
MAS110442002_3,8.6
MAS110442003_3,8.82
MAS110442004_3,8.9
MAS110442005_3,8.01
MAS110442006T_3,7.56
MAS110442007T_3,7.86
MAS110442008T_3,7.12
MAS110442009_3,8.52
MAS110452001_3,7.34
MAS110452002U_3,7.34
MAS110462001_3,7.93
MAS110472001T_3,5.86
MAS110482001U_3,7.04
MAS110482002U_3,6.82
MAS110482003U_3,6.67
MAS110502001U_3,7.26
MAS110502002T_3,3.85
MAS110742001_3,7.56
MAS110772001T_3,9.04
MAS110822001_3,7.86
MAS110822002T_3,8.52
MAS110822003T_3,7.78
MAS110822004_3,8.75
MAS111212001_3,7.78
MAS111212002_3,7.93
MAS111252001U_3,9.19
MAS111252002_3,8.67
MAS111252003_3,8.97
MAS111262001U_3,8.9
MAS111272001_3,7.78
MAS111272002_3,7.04
MAS111272003_3,9.56
MAS111272004U_3,9.41
MAS111272005U_3,8.3
MAS111272006U_3,9.27
MAS111292001_3,10.01
MAS111292002_3,8.38
MAS111292003_3,6.97
MAS111292004_3,8.45
MAS111292005_3,8.08
MAS111292006_3,9.41
MAS111302001_3,9.27
MAS111342001_3,7.78
MAS111342002_3,9.12
MAS111352001_3,9.19
MAS111352002_3,4.89
MAS111362001UT_3,7.12
MAS111362002T_3,9.19
MAS111362003UT_3,8.01
MAS111362004U_3,8.6
MAS111362005_3,8.82
MAS111412001T_3,10.16
MAS111422001U_3,9.04
MAS111422002U_3,9.56
MAS111422003_3,9.79
MAS111422004U_3,8.3
MAS111442001UT_3,8.97
MAS111442002UT_3,8.01
MAS111462001U_3,9.71
MAS111462002U_3,9.04
MAS111462003U_3,9.19
MAS111502001U_3,8.15
MAS111652001_3,8.9
MAS111682001_3,7.86
MAS111692001_3,8.01
MAS111692002_3,7.71
SWW11002B001_3,7.78
SWW11014B001_3,9.64
SWW11015B001_3,9.27
SWW11016B001_3,9.64
SWW11016B002_3,10.16
SWW11017B001_3,10.53
SWW11017B002_3,10.45
SWW11018B001_3,10.01
SWW11018B002_3,11.27
SWW11018B003_3,9.79
SWW11018B004_3,10.08
SWW11020B001_3,10.53
SWW11020B002_3,9.93
SWW11020B003_3,9.86
SWW11020B004_3,9.27
SWW11021B001_3,8.67
SWW11025B001_3,6.45
SWW11025B002_3,10.16
SWW11025B003_3,10.97
SWW11025B004_3,7.86
SWW11026B001_3,8.01
SWW11026B002_3,8.01
