ID,HT-IL,FL-IL,HT-MX
12EF1218_4,399.82,96.79,221.32
12EF1219_4,388.99,135.3,214.85
12EF1222_4,398.83,124.44,212.28
12EF1223_4,401.79,94.82,213.59
12EF1225_4,345.67,120.49,210.78
12EF1226_4,336.81,130.36,208.63
12EF1227_4,357.48,130.36,208.46
12EF1228_4,323.02,84.95,206.06
12EF1229_4,393.91,130.36,203.32
12EF1231_4,273.8,92.85,198.36
12EF1232_4,320.07,127.4,197.94
12EF1233_4,273.8,98.77,212.05
12EF1234_4,261,84.95,212.05
12EF1235_4,331.88,84.95,193.05
12EF1236_4,283.64,92.85,203.77
12EF1237_4,335.82,122.46,189.17
12EF1239_4,386.03,104.69,188.09
12EF1240_4,381.11,111.6,188.36
12EF1242_4,300.38,96.79,185.35
12EF1243_4,378.16,134.31,183.22
12EF1244_4,406.71,120.49,180.65
12EF1245_4,387.02,104.69,188.36
12EF1247_4,,,185.79
12EF1249_4,306.29,105.68,183.8
SC1203_4,180.27,72.57,
12EF1252_4,354.07,118.79,162.68
12EF1253_4,414.13,101.02,172.95
12EF1254_4,287.12,132.61,185.79
12EF1255_4,375.73,104.97,194.07
12EF1258_4,319.61,114.84,183.22
12EF1259_4,413.15,120.77,196.07
12EF1260_4,391.49,97.07,187.91
12EF1262_4,262.51,96.09,184.41
12EF1263_4,231.01,90.16,184.41
12EF1264_4,231.99,84.24,190.92
12EF1265_4,361.95,104.97,209.48
12EF1266_4,318.63,132.61,191.74
12EF1267_4,196.55,71.4,193.8
12EF1268_4,347.18,124.72,194.3
12EF1269_4,296.97,101.02,200.77
12EF1270_4,368.84,128.67,198.19
12EF1271_4,411.18,128.67,201.2
12EF1272_4,381.64,101.02,203.76
12EF1273_4,363.92,90.16,211.04
12EF1274_4,246.76,80.29,206.64
12EF1275_4,338.32,118.79,207.14
12EF1276_4,381.64,91.15,209.71
12EF1277_4,382.62,137.55,216.18
12EF1278_4,406.25,112.87,213.59
12EF1279_4,417.08,103,210.09
12EF1280_4,395.42,101.02,214.34
12EF1282_4,412.16,110.89,214.85
12EF1283_4,316.66,79.3,221.32
12EF1284_4,420.04,104.97,216.34
12EF1285_4,420.04,105.96,218.73
12EF1286_4,415.11,128.67,215.13
12EF1287_4,386.56,134.59,223.88
12EF1288_4,400.35,130.64,215.23
12EF1289_4,420.04,132.61,217.7
12EF1290_4,415.11,114.84,226.45
12EF1292_4,408.22,106.95,222.55
12EF1293_4,420.04,101.02,186.1
12EF1294_4,413.15,91.15,226.61
12EF1295_4,406.25,108.92,228.76
12EF1296_4,404.28,110.89,229.75
12EF1297_4,417.08,107.93,233.89
12EF1298_4,409.21,130.64,230.54
12EF1302_4,344.64,105.99,
12EF1303_4,414.54,113.89,233.2
12EF1304_4,420.45,130.67,232.32
12EF1305_4,420.45,130.67,229.18
12EF1306_4,420.45,120.8,227.18
12EF1307_4,402.73,125.74,226.61
12EF1308_4,419.46,107.96,222.84
12EF1309_4,405.68,130.67,222.55
12EF1311_4,378.11,134.62,226.45
12EF1312_4,404.69,124.75,217.7
12EF1314_4,420.45,125.74,223.88
12EF1315_4,362.36,118.82,215.13
12EF1316_4,325.93,87.23,218.48
12EF1317_4,420.45,98.09,216.34
12EF1318_4,420.45,123.76,221.32
12EF1319_4,369.25,90.19,212.56
12EF1320_4,323.96,76.37,215.92
12EF1321_4,322.98,82.29,214.34
12EF1322_4,276.7,76.37,210.09
12EF1323_4,310.18,82.29,213.59
12EF1324_4,293.44,86.24,211.78
12EF1325_4,279.66,93.16,209.21
12EF1326_4,281.63,78.35,204.96
12EF1327_4,417.49,101.05,219.18
12EF1328_4,328.88,120.8,205.89
12EF1329_4,402.73,101.05,203.32
12EF1330_4,347.59,104.02,200.51
12EF1331_4,346.61,118.82,198.94
12EF1332_4,219.6,78.35,200.77
12EF1333_4,277.69,77.36,192.02
12EF1335_4,385,105,193.49
12EF1336_4,237.32,81.31,186.98
12EF1337_4,270.8,99.08,201.2
12EF1338_4,200.89,80.32,190.24
12EF1339_4,330.85,97.1,188.36
12EF1340_4,332.82,99.08,188.36
12EF1341_4,291.47,104.02,181.84
12EF1342_4,314.12,113.89,185.35
12EF1344_4,224.52,77.36,180.21
12EF1345_4,333.81,99.08,188.36
12EF1346_4,322.98,90.19,194.07
12EF1347_4,410.6,90.19,191.51
12EF1348_4,297.38,79.33,180.66
12EF1349_4,233.38,75.38,172.96
12EF1352_4,187.35,71.77,170.39
12EF1353_4,,,177.66
12EF1354_4,344.88,126.07,191.51
12EF1355_4,209.01,72.75,180.23
12EF1356_4,388.2,95.46,196.64
12EF1357_4,256.27,90.52,180.21
12EF1358_4,329.12,99.41,199.21
12EF1359_4,370.47,98.42,185.79
12EF1360_4,337.98,93.49,221.32
12EF1361_4,421.67,106.32,188.36
12EF1362_4,215.9,74.73,184.32
12EF1363_4,421.67,103.36,201.2
12EF1364_4,360.63,99.41,186.88
12EF1365_4,339.95,105.33,190.66
12EF1366_4,344.88,98.42,193.22
12EF1367_4,370.47,93.49,189.55
12EF1368_4,349.8,99.41,195.62
12EF1369_4,421.67,95.46,196.37
